DEVICE_NAME,PORT,PROTOCOL,METRIC_NAME,METRIC_VALUE,TIMESTAMP
R0019,7057,TCP,INCOMING_CONNECTIONS,28,2020-08-16 03:09:09.918881+00:00
R0019,7057,TCP,OUTGOING_CONNECTIONS,14,2020-08-16 03:09:09.918881+00:00
R0019,7057,TCP,INCOMING_BYTES,1435,2020-08-16 03:09:09.918881+00:00
R0019,7057,TCP,OUTGOING_BYTES,760,2020-08-16 03:09:09.918881+00:00
R0016,7051,TCP,INCOMING_CONNECTIONS,35,2020-08-16 03:09:09.918881+00:00
R0016,7051,TCP,OUTGOING_CONNECTIONS,23,2020-08-16 03:09:09.918881+00:00
R0016,7051,TCP,INCOMING_BYTES,1332,2020-08-16 03:09:09.918881+00:00
R0016,7051,TCP,OUTGOING_BYTES,920,2020-08-16 03:09:09.918881+00:00
R0019,7050,TCP,INCOMING_CONNECTIONS,31,2020-08-16 03:09:09.918881+00:00
R0019,7050,TCP,OUTGOING_CONNECTIONS,21,2020-08-16 03:09:09.918881+00:00
R0019,7050,TCP,INCOMING_BYTES,1070,2020-08-16 03:09:09.918881+00:00
R0019,7050,TCP,OUTGOING_BYTES,662,2020-08-16 03:09:09.918881+00:00
R0011,7054,TCP,INCOMING_CONNECTIONS,22,2020-08-16 03:09:09.918881+00:00
R0011,7054,TCP,OUTGOING_CONNECTIONS,12,2020-08-16 03:09:09.918881+00:00
R0011,7054,TCP,INCOMING_BYTES,1129,2020-08-16 03:09:09.918881+00:00
R0011,7054,TCP,OUTGOING_BYTES,750,2020-08-16 03:09:09.918881+00:00
R0019,7059,TCP,INCOMING_CONNECTIONS,38,2020-08-16 03:10:09.918881+00:00
R0019,7059,TCP,OUTGOING_CONNECTIONS,15,2020-08-16 03:10:09.918881+00:00
R0019,7059,TCP,INCOMING_BYTES,1357,2020-08-16 03:10:09.918881+00:00
R0019,7059,TCP,OUTGOING_BYTES,570,2020-08-16 03:10:09.918881+00:00
R0018,7053,TCP,INCOMING_CONNECTIONS,32,2020-08-16 03:10:09.918881+00:00
R0018,7053,TCP,OUTGOING_CONNECTIONS,24,2020-08-16 03:10:09.918881+00:00
R0018,7053,TCP,INCOMING_BYTES,1463,2020-08-16 03:10:09.918881+00:00
R0018,7053,TCP,OUTGOING_BYTES,536,2020-08-16 03:10:09.918881+00:00
R0015,7054,TCP,INCOMING_CONNECTIONS,25,2020-08-16 03:10:09.918881+00:00
R0015,7054,TCP,OUTGOING_CONNECTIONS,20,2020-08-16 03:10:09.918881+00:00
R0015,7054,TCP,INCOMING_BYTES,1445,2020-08-16 03:10:09.918881+00:00
R0015,7054,TCP,OUTGOING_BYTES,606,2020-08-16 03:10:09.918881+00:00
R0013,7055,TCP,INCOMING_CONNECTIONS,38,2020-08-16 03:10:09.918881+00:00
R0013,7055,TCP,OUTGOING_CONNECTIONS,26,2020-08-16 03:10:09.918881+00:00
R0013,7055,TCP,INCOMING_BYTES,1235,2020-08-16 03:10:09.918881+00:00
R0013,7055,TCP,OUTGOING_BYTES,861,2020-08-16 03:10:09.918881+00:00
R0018,7053,TCP,INCOMING_CONNECTIONS,33,2020-08-16 03:11:09.918881+00:00
R0018,7053,TCP,OUTGOING_CONNECTIONS,14,2020-08-16 03:11:09.918881+00:00
R0018,7053,TCP,INCOMING_BYTES,1285,2020-08-16 03:11:09.918881+00:00
R0018,7053,TCP,OUTGOING_BYTES,760,2020-08-16 03:11:09.918881+00:00
R0015,7050,TCP,INCOMING_CONNECTIONS,38,2020-08-16 03:11:09.918881+00:00
R0015,7050,TCP,OUTGOING_CONNECTIONS,19,2020-08-16 03:11:09.918881+00:00
R0015,7050,TCP,INCOMING_BYTES,1391,2020-08-16 03:11:09.918881+00:00
R0015,7050,TCP,OUTGOING_BYTES,824,2020-08-16 03:11:09.918881+00:00
R0012,7050,TCP,INCOMING_CONNECTIONS,25,2020-08-16 03:11:09.918881+00:00
R0012,7050,TCP,OUTGOING_CONNECTIONS,27,2020-08-16 03:11:09.918881+00:00
R0012,7050,TCP,INCOMING_BYTES,1335,2020-08-16 03:11:09.918881+00:00
R0012,7050,TCP,OUTGOING_BYTES,728,2020-08-16 03:11:09.918881+00:00
R0017,7055,TCP,INCOMING_CONNECTIONS,37,2020-08-16 03:12:09.918881+00:00
R0017,7055,TCP,OUTGOING_CONNECTIONS,14,2020-08-16 03:12:09.918881+00:00
R0017,7055,TCP,INCOMING_BYTES,1142,2020-08-16 03:12:09.918881+00:00
R0017,7055,TCP,OUTGOING_BYTES,971,2020-08-16 03:12:09.918881+00:00
R0014,7050,TCP,INCOMING_CONNECTIONS,29,2020-08-16 03:12:09.918881+00:00
R0014,7050,TCP,OUTGOING_CONNECTIONS,28,2020-08-16 03:12:09.918881+00:00
R0014,7050,TCP,INCOMING_BYTES,1440,2020-08-16 03:12:09.918881+00:00
R0014,7050,TCP,OUTGOING_BYTES,959,2020-08-16 03:12:09.918881+00:00
R0015,7054,TCP,INCOMING_CONNECTIONS,24,2020-08-16 03:12:09.918881+00:00
R0015,7054,TCP,OUTGOING_CONNECTIONS,26,2020-08-16 03:12:09.918881+00:00
R0015,7054,TCP,INCOMING_BYTES,1028,2020-08-16 03:12:09.918881+00:00
R0015,7054,TCP,OUTGOING_BYTES,836,2020-08-16 03:12:09.918881+00:00
R0014,7055,TCP,INCOMING_CONNECTIONS,27,2020-08-16 03:12:09.918881+00:00
R0014,7055,TCP,OUTGOING_CONNECTIONS,29,2020-08-16 03:12:09.918881+00:00
R0014,7055,TCP,INCOMING_BYTES,1313,2020-08-16 03:12:09.918881+00:00
R0014,7055,TCP,OUTGOING_BYTES,882,2020-08-16 03:12:09.918881+00:00
R0010,7051,TCP,INCOMING_CONNECTIONS,30,2020-08-16 03:13:09.918881+00:00
R0010,7051,TCP,OUTGOING_CONNECTIONS,27,2020-08-16 03:13:09.918881+00:00
R0010,7051,TCP,INCOMING_BYTES,1268,2020-08-16 03:13:09.918881+00:00
R0010,7051,TCP,OUTGOING_BYTES,784,2020-08-16 03:13:09.918881+00:00
R0012,7050,TCP,INCOMING_CONNECTIONS,38,2020-08-16 03:13:09.918881+00:00
R0012,7050,TCP,OUTGOING_CONNECTIONS,21,2020-08-16 03:13:09.918881+00:00
R0012,7050,TCP,INCOMING_BYTES,1419,2020-08-16 03:13:09.918881+00:00
R0012,7050,TCP,OUTGOING_BYTES,908,2020-08-16 03:13:09.918881+00:00
R0014,7055,TCP,INCOMING_CONNECTIONS,36,2020-08-16 03:13:09.918881+00:00
R0014,7055,TCP,OUTGOING_CONNECTIONS,19,2020-08-16 03:13:09.918881+00:00
R0014,7055,TCP,INCOMING_BYTES,1001,2020-08-16 03:13:09.918881+00:00
R0014,7055,TCP,OUTGOING_BYTES,803,2020-08-16 03:13:09.918881+00:00
R0018,7059,TCP,INCOMING_CONNECTIONS,30,2020-08-16 03:13:09.918881+00:00
R0018,7059,TCP,OUTGOING_CONNECTIONS,24,2020-08-16 03:13:09.918881+00:00
R0018,7059,TCP,INCOMING_BYTES,1364,2020-08-16 03:13:09.918881+00:00
R0018,7059,TCP,OUTGOING_BYTES,739,2020-08-16 03:13:09.918881+00:00
R0019,7051,TCP,INCOMING_CONNECTIONS,36,2020-08-16 03:14:09.918881+00:00
R0019,7051,TCP,OUTGOING_CONNECTIONS,27,2020-08-16 03:14:09.918881+00:00
